,First Name,Other Names,Full Name,DOB,Day of Birth,Month of Birth,Year of Birth,Position,International Caps,International Goals,Club,Club Country
1,Hernan,Galindez,"Galindez, Hernan",30 March 1987,30,March,1987,GK,12,0,Aucas,Ecuador
2,Felix,Torres,"Torres, Felix",11 January 1997,11,January,1997,DF,17,2,Santos Laguna,Mexico
3,Piero,Hincapie,"Hincapie, Piero",9 January 2002,9,January,2002,DF,21,1,Bayer Leverkusen,Germany
4,Robert,Arboleda,"Arboleda, Robert",22 October 1991,22,October,1991,DF,33,2,São Paulo,Brazil
5,Jose,Cifuentes,"Cifuentes, Jose",12 March 1999,12,March,1999,MF,11,0,Los Angeles FC,United States
6,William,Pacho,"Pacho, William",16 October 2001,16,October,2001,DF,0,0,Antwerp,Belgium
7,Pervis,Estupinan,"Estupinan, Pervis",21 January 1998,21,January,1998,DF,28,3,Brighton & Hove Albion,England
8,Carlos,Gruezo,"Gruezo, Carlos",19 April 1995,19,April,1995,MF,46,1,FC Augsburg,Germany
9,Ayrton,Preciado,"Preciado, Ayrton",17 July 1994,17,July,1994,MF,27,3,Santos Laguna,Mexico
10,Romario,Ibarra,"Ibarra, Romario",24 September 1994,24,September,1994,MF,25,3,Pachuca,Mexico
11,Michael,Estrada,"Estrada, Michael",7 April 1996,7,April,1996,FW,36,8,Cruz Azul,Mexico
12,Moises,Ramirez,"Ramirez, Moises",9 September 2000,9,September,2000,GK,2,0,Independiente del Valle,Ecuador
13,Enner,Valencia,"Valencia, Enner",4 November 1989,4,November,1989,FW,74,35,Fenerbahçe,Turkey
14,Xavier,Arreaga,"Arreaga, Xavier",28 September 1994,28,September,1994,DF,18,1,Seattle Sounders FC,United States
15,Angel,Mena,"Mena, Angel",21 January 1988,21,January,1988,MF,46,7,León,Mexico
16,Jeremy,Sarmiento,"Sarmiento, Jeremy",16 June 2002,16,June,2002,MF,9,0,Brighton & Hove Albion,England
17,Angelo,Preciado,"Preciado, Angelo",18 February 1998,18,February,1998,DF,24,0,Genk,Belgium
18,Diego,Palacios,"Palacios, Diego",12 July 1999,12,July,1999,DF,12,0,Los Angeles FC,United States
19,Gonzalo,Plata,"Plata, Gonzalo",1 November 2000,1,November,2000,MF,30,5,Valladolid,Spain
20,Sebas,Mendez,"Mendez, Sebas",26 April 1997,26,April,1997,MF,32,0,Los Angeles FC,United States
21,Alan,Franco,"Franco, Alan",21 August 1998,21,August,1998,MF,25,1,Talleres,Argentina
22,Alexander,Dominguez,"Dominguez, Alexander",5 June 1987,5,June,1987,GK,68,0,LDU Quito,Ecuador
23,Moises,Caicedo,"Caicedo, Moises",2 November 2001,2,November,2001,MF,25,2,Brighton & Hove Albion,England
24,Djorkaeff,Reasco,"Reasco, Djorkaeff",18 January 1999,18,January,1999,FW,4,0,Newell's Old Boys,Argentina
25,Jackson,Porozo,"Porozo, Jackson",4 August 2000,4,August,2000,DF,5,0,Troyes,France
26,Kevin,Rodriguez,"Rodriguez, Kevin",4 March 2000,4,March,2000,FW,1,0,Imbabura,Ecuador
27,Remko,Pasveer,"Pasveer, Remko",8 November 1983,8,November,1983,GK,2,0,Ajax,Netherlands
28,Jurrien,Timber,"Timber, Jurrien",17 June 2001,17,June,2001,DF,10,0,Ajax,Netherlands
29,Matthijs de,Ligt,"Ligt, Matthijs de",12 August 1999,12,August,1999,DF,38,2,Bayern Munich,Germany
30,Virgil van,Dijk,"Dijk, Virgil van",8 July 1991,8,July,1991,DF,49,6,Liverpool,England
31,Nathan,Ake,"Ake, Nathan",18 February 1995,18,February,1995,DF,29,3,Manchester City,England
32,Stefan de,Vrij,"Vrij, Stefan de",5 February 1992,5,February,1992,DF,59,3,Internazionale,Italy
33,Steven,Bergwijn,"Bergwijn, Steven",8 October 1997,8,October,1997,FW,24,7,Ajax,Netherlands
34,Cody,Gakpo,"Gakpo, Cody",7 May 1999,7,May,1999,FW,9,3,PSV Eindhoven,Netherlands
35,Luuk de,Jong,"Jong, Luuk de",27 August 1990,27,August,1990,FW,38,8,PSV Eindhoven,Netherlands
36,Memphis,Depay,"Depay, Memphis",13 February 1994,13,February,1994,FW,81,42,Barcelona,Spain
37,Steven,Berghuis,"Berghuis, Steven",19 December 1991,19,December,1991,MF,39,2,Ajax,Netherlands
38,Noa,Lang,"Lang, Noa",17 June 1999,17,June,1999,FW,5,1,Club Brugge,Belgium
39,Justin,Bijlow,"Bijlow, Justin",22 January 1998,22,January,1998,GK,6,0,Feyenoord,Netherlands
40,Davy,Klaassen,"Klaassen, Davy",21 February 1993,21,February,1993,MF,35,9,Ajax,Netherlands
41,Marten de,Roon,"Roon, Marten de",29 March 1991,29,March,1991,MF,30,0,Atalanta,Italy
42,Tyrell,Malacia,"Malacia, Tyrell",17 August 1999,17,August,1999,DF,6,0,Manchester United,England
43,Daley,Blind,"Blind, Daley",9 March 1990,9,March,1990,DF,94,2,Ajax,Netherlands
44,Vincent,Janssen,"Janssen, Vincent",15 June 1994,15,June,1994,FW,20,7,Antwerp,Belgium
45,Wout,Weghorst,"Weghorst, Wout",7 August 1992,7,August,1992,FW,15,3,Beşiktaş,Turkey
46,Teun,Koopmeiners,"Koopmeiners, Teun",28 February 1998,28,February,1998,MF,10,1,Atalanta,Italy
47,Frenkie de,Jong,"Jong, Frenkie de",12 May 1997,12,May,1997,MF,45,1,Barcelona,Spain
48,Denzel,Dumfries,"Dumfries, Denzel",18 April 1996,18,April,1996,DF,37,5,Internazionale,Italy
49,Andries,Noppert,"Noppert, Andries",7 April 1994,7,April,1994,GK,0,0,Heerenveen,Netherlands
50,Kenneth,Taylor,"Taylor, Kenneth",16 May 2002,16,May,2002,MF,2,0,Ajax,Netherlands
51,Xavi,Simons,"Simons, Xavi",21 April 2003,21,April,2003,MF,0,0,PSV Eindhoven,Netherlands
52,Jeremie,Frimpong,"Frimpong, Jeremie",10 December 2000,10,December,2000,DF,0,0,Bayer Leverkusen,Germany
53,Saad,Sheeb,"Sheeb, Saad",19 February 1990,19,February,1990,GK,76,0,Al-Sadd,Qatar
54,Ro-Ro,N/A,Ro-Ro,6 August 1990,6,August,1990,DF,80,1,Al-Sadd,Qatar
55,Abdelkarim,Hassan,"Hassan, Abdelkarim",28 August 1993,28,August,1993,MF,130,15,Al-Sadd,Qatar
56,Mohammed,Waad,"Waad, Mohammed",18 September 1999,18,September,1999,DF,21,0,Al-Sadd,Qatar
57,Tarek,Salman,"Salman, Tarek",5 December 1997,5,December,1997,DF,58,0,Al-Sadd,Qatar
58,Abdulaziz,Hatem,"Hatem, Abdulaziz",1 January 1990,1,January,1990,MF,107,11,Al-Rayyan,Qatar
59,Ahmed,Alaaeldin,"Alaaeldin, Ahmed",31 January 1993,31,January,1993,FW,47,2,Al-Gharafa,Qatar
60,Ali,Assadalla,"Assadalla, Ali",19 January 1993,19,January,1993,MF,59,12,Al-Sadd,Qatar
61,Mohammed,Muntari,"Muntari, Mohammed",20 December 1993,20,December,1993,FW,48,13,Al-Duhail,Qatar
