No,First Name,Other Names,Full Name,DOB,Day of Birth,Month of Birth,Year of Birth,Age,Position,Nationality,International Caps,International Goals,Club,League,Club Country
1,Hernan,Galindez,"Galindez, Hernan",30-Mar-87,30,March,1987,35,GK,Ecuador,12,0,Aucas,Ecuadorian Serie A,Ecuador
2,Felix,Torres,"Torres, Felix",11-Jan-97,11,January,1997,25,DF,Ecuador,17,2,Santos Laguna,Mexican Liga MX,Mexico
3,Piero,Hincapie,"Hincapie, Piero",9-Jan-02,9,January,2002,20,DF,Ecuador,21,1,Bayer Leverkusen,German 1. Bundesliga,Germany
4,Robert,Arboleda,"Arboleda, Robert",22-Oct-91,22,October,1991,31,DF,Ecuador,33,2,São Paulo,Campeonato Brasileiro Série A,Brazil
5,Jose,Cifuentes,"Cifuentes, Jose",12-Mar-99,12,March,1999,23,MF,Ecuador,11,0,Los Angeles FC,USA Major League Soccer,United States
6,William,Pacho,"Pacho, William",16-Oct-01,16,October,2001,21,DF,Ecuador,0,0,Antwerp,Belgian Jupiler Pro League,Belgium
7,Pervis,Estupinan,"Estupinan, Pervis",21-Jan-98,21,January,1998,24,DF,Ecuador,28,3,Brighton & Hove Albion,English Premier League,England
8,Carlos,Gruezo,"Gruezo, Carlos",19-Apr-95,19,April,1995,27,MF,Ecuador,46,1,FC Augsburg,German 1. Bundesliga,Germany
9,Ayrton,Preciado,"Preciado, Ayrton",17-Jul-94,17,July,1994,28,MF,Ecuador,27,3,Santos Laguna,Mexican Liga MX,Mexico
10,Romario,Ibarra,"Ibarra, Romario",24-Sep-94,24,September,1994,28,MF,Ecuador,25,3,Pachuca,Mexican Liga MX,Mexico
11,Michael,Estrada,"Estrada, Michael",7-Apr-96,7,April,1996,26,FW,Ecuador,36,8,Cruz Azul,Mexican Liga MX,Mexico
12,Moises,Ramirez,"Ramirez, Moises",9-Sep-00,9,September,2000,22,GK,Ecuador,2,0,Independiente del Valle,Ecuadorian Serie A,Ecuador
13,Enner,Valencia,"Valencia, Enner",4-Nov-89,4,November,1989,33,FW,Ecuador,74,35,Fenerbahçe,Turkish Süper Lig,Turkey
14,Xavier,Arreaga,"Arreaga, Xavier",28-Sep-94,28,September,1994,28,DF,Ecuador,18,1,Seattle Sounders FC,USA Major League Soccer,United States
15,Angel,Mena,"Mena, Angel",21-Jan-88,21,January,1988,34,MF,Ecuador,46,7,León,Mexican Liga MX,Mexico
16,Jeremy,Sarmiento,"Sarmiento, Jeremy",16-Jun-02,16,June,2002,20,MF,Ecuador,9,0,Brighton & Hove Albion,English Premier League,England
17,Angelo,Preciado,"Preciado, Angelo",18-Feb-98,18,February,1998,24,DF,Ecuador,24,0,Genk,Belgian Jupiler Pro League,Belgium
18,Diego,Palacios,"Palacios, Diego",12-Jul-99,12,July,1999,23,DF,Ecuador,12,0,Los Angeles FC,USA Major League Soccer,United States
19,Gonzalo,Plata,"Plata, Gonzalo",1-Nov-00,1,November,2000,22,MF,Ecuador,30,5,Valladolid,Spanish Segunda División,Spain
20,Sebas,Mendez,"Mendez, Sebas",26-Apr-97,26,April,1997,25,MF,Ecuador,32,0,Los Angeles FC,USA Major League Soccer,United States
21,Alan,Franco,"Franco, Alan",21-Aug-98,21,August,1998,24,MF,Ecuador,25,1,Talleres,Argentina Primera División,Argentina
22,Alexander,Dominguez,"Dominguez, Alexander",5-Jun-87,5,June,1987,35,GK,Ecuador,68,0,LDU Quito,Ecuadorian Serie A,Ecuador
23,Moises,Caicedo,"Caicedo, Moises",2-Nov-01,2,November,2001,21,MF,Ecuador,25,2,Brighton & Hove Albion,English Premier League,England
24,Djorkaeff,Reasco,"Reasco, Djorkaeff",18-Jan-99,18,January,1999,23,FW,Ecuador,4,0,Newell's Old Boys,Argentina Primera División,Argentina
25,Jackson,Porozo,"Porozo, Jackson",4-Aug-00,4,August,2000,22,DF,Ecuador,5,0,Troyes,French Ligue 1,France
26,Kevin,Rodriguez,"Rodriguez, Kevin",4-Mar-00,4,March,2000,22,FW,Ecuador,1,0,Imbabura,Liga Pro Serie B,Ecuador
27,Remko,Pasveer,"Pasveer, Remko",8-Nov-83,8,November,1983,39,GK,Netherlands,2,0,Ajax,Holland Eredivisie,Netherlands
28,Jurrien,Timber,"Timber, Jurrien",17-Jun-01,17,June,2001,21,DF,Netherlands,10,0,Ajax,Holland Eredivisie,Netherlands
29,Matthijs de,Ligt,"Ligt, Matthijs de",12-Aug-99,12,August,1999,23,DF,Netherlands,38,2,Bayern Munich,German 1. Bundesliga,Germany
30,Virgil van,Dijk,"Dijk, Virgil van",8-Jul-91,8,July,1991,31,DF,Netherlands,49,6,Liverpool,English Premier League,England
31,Nathan,Ake,"Ake, Nathan",18-Feb-95,18,February,1995,27,DF,Netherlands,29,3,Manchester City,English Premier League,England
32,Stefan de,Vrij,"Vrij, Stefan de",5-Feb-92,5,February,1992,30,DF,Netherlands,59,3,Internazionale,Italian Serie A,Italy
33,Steven,Bergwijn,"Bergwijn, Steven",8-Oct-97,8,October,1997,25,FW,Netherlands,24,7,Ajax,Holland Eredivisie,Netherlands
34,Cody,Gakpo,"Gakpo, Cody",7-May-99,7,May,1999,23,FW,Netherlands,9,3,PSV Eindhoven,Holland Eredivisie,Netherlands
35,Luuk de,Jong,"Jong, Luuk de",27-Aug-90,27,August,1990,32,FW,Netherlands,38,8,PSV Eindhoven,Holland Eredivisie,Netherlands
36,Memphis,Depay,"Depay, Memphis",13-Feb-94,13,February,1994,28,FW,Netherlands,81,42,Barcelona,Spain Primera Division,Spain
